old,new
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,X
72,X
73,314
74,315
75,316
76,317
77,318
78,313
79,341
80,337
81,338
82,344
83,X
84,84
85,71
86,X
87,336
88,342
89,343
90,380
91,339
92,335
93,X
94,377
95,378
96,345
97,X
98,294
99,74
100,77
101,72
102,73
103,80
104,75
105,76
106,85
107,78
108,79
109,87
110,81
111,82
112,83
113,320
114,90
115,86
116,93
117,88
118,89
119,95
120,91
121,92
122,99
123,94
124,102
125,96
126,97
127,98
128,104
129,100
130,101
131,107
132,103
133,110
134,105
135,106
136,112
137,108
138,109
139,115
140,111
141,117
142,113
143,114
144,120
145,116
146,123
147,118
148,119
149,125
150,121
151,122
152,128
153,124
154,130
155,126
156,127
157,134
158,129
159,137
160,131
161,132
162,133
163,139
164,135
165,136
166,142
167,138
168,145
169,140
170,141
171,148
172,143
173,144
174,153
175,146
176,147
177,155
178,149
179,150
180,151
181,152
182,158
183,154
184,161
185,156
186,157
187,164
188,159
189,160
190,167
191,162
192,163
193,171
194,165
195,166
196,173
197,168
198,169
199,170
200,176
201,172
202,179
203,174
204,175
205,182
206,177
207,178
208,186
209,180
210,181
211,193
212,183
213,184
214,185
215,196
216,187
217,188
218,189
219,190
220,191
221,192
222,202
223,194
224,195
225,205
226,197
227,198
228,199
229,200
230,201
231,208
232,203
233,204
234,212
235,206
236,207
237,213
238,209
239,210
240,211
241,214
242,X
243,216
244,217
245,218
246,X
247,220
248,X
249,X
250,223
251,X
252,X
253,226
254,X
255,X
256,X
257,X
258,234
259,215
260,229
261,X
262,231
263,219
264,237
265,221
266,222
267,243
268,224
269,225
270,246
271,227
272,228
273,239
274,230
275,241
276,232
277,233
278,249
279,235
280,236
281,257
282,238
283,252
284,240
285,254
286,242
287,260
288,244
289,245
290,266
291,247
292,248
293,269
294,250
295,251
296,262
297,253
298,264
299,255
300,256
301,272
302,258
303,259
304,275
305,261
306,299
307,263
308,278
309,265
310,277
311,267
312,268
313,281
314,270
315,271
316,284
317,273
318,274
319,295
320,276
321,302
322,296
323,279
324,280
325,303
326,282
327,283
328,305
329,285
330,286
331,287
332,288
333,289
334,290
335,291
336,292
337,293
338,347
339,309
340,306
341,297
342,298
343,X
344,300
345,301
346,321
347,X
348,X
349,312
350,333
351,334
352,340
353,376
354,X
355,X
356,X
357,X
358,319
359,375
360,X
361,X
362,X
363,X
364,X
365,346
366,382
367,324
368,304
369,329
370,325
371,307
372,308
373,348
374,310
375,311
376,332
377,X
378,X
379,X
380,X
381,X
382,X
383,381
384,X
385,351
386,322
387,323
388,354
389,355
390,326
391,327
392,328
393,359
394,330
395,331
396,373
397,374
398,X
399,X
400,X
401,X
402,X
403,X
404,X
405,X
406,X
407,X
408,X
409,X
410,X
411,X
412,360
413,349
414,350
415,362
416,352
417,353
418,365
419,366
420,356
421,357
422,358
423,370
424,X
425,372
426,X
427,X
428,X
429,X
430,X
431,X
432,X
433,X
434,X
435,X
436,383
437,361
438,386
439,363
440,364
441,X
442,387
443,367
444,368
445,369
446,X
447,371
448,X
449,X
450,X
451,X
452,X
453,X
454,X
455,379
456,X
457,X
458,X
459,X
460,384
461,385
462,X
463,X
464,388
465,389
466,390
