old,new
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,X
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
21,20
22,X
23,21
24,22
25,23
26,24
27,25
28,26
29,27
30,28
31,29
32,30
33,X
34,X
35,32
36,33
37,34
38,35
39,36
40,37
41,38
42,39
43,X
44,X
45,41
46,42
47,43
48,44
49,45
50,46
51,47
52,48
53,49
54,50
