old,new
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,X
21,X
22,X
23,X
24,20
25,21
26,22
27,23
28,24
29,25
30,26
31,27
32,28
33,29
34,30
35,31
36,32
37,33
38,34
39,35
40,36
41,37
42,38
43,39
44,40
45,41
46,X
47,X
48,X
49,X
50,X
51,X
52,48
53,49
54,42
55,43
56,44
57,45
58,46
59,47
60,54
61,55
62,50
63,51
64,52
65,53
66,X
67,X
