old,new
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,24
15,16
16,26
17,18
18,28
19,21
20,19
21,14
22,15
23,25
24,17
25,27
26,22
27,20
28,29
29,23
30,32
31,33
32,34
33,35
34,36
35,37
36,38
37,30
38,40
39,41
40,42
41,43
42,31
43,45
44,46
45,47
46,48
47,39
48,50
49,51
50,52
51,53
52,44
53,55
54,56
55,57
56,58
